publication_id,tag_count,metric_count,ioc_count,core_dimension_fill_count,core_dimension_fill_percent,ai_relevance,analysis_inclusion,manual_review_required
pub-087,40,4,6,7,70.0,core_ai_attack,include_with_manual_validation,yes
pub-088,48,0,3,8,80.0,core_ai_attack,include_with_manual_validation,yes
pub-089,29,0,0,7,70.0,core_ai_attack,include_with_manual_validation,yes
pub-090,25,0,0,5,50.0,core_ai_attack,include_with_manual_validation,yes
pub-091,52,2,0,7,70.0,core_ai_attack,include_with_manual_validation,yes
pub-092,55,0,0,7,70.0,core_ai_attack,include_with_manual_validation,yes
pub-094,130,10,0,9,90.0,core_ai_attack,include_with_manual_validation,yes
pub-095,29,2,0,5,50.0,core_ai_attack,include_with_manual_validation,yes
pub-096,112,7,4,9,90.0,core_ai_attack,include_with_manual_validation,yes
pub-097,17,1,0,3,30.0,core_ai_attack,include_with_manual_validation,yes
pub-098,21,0,0,3,30.0,core_ai_attack,include_with_manual_validation,yes
pub-100,22,3,0,3,30.0,core_ai_attack,include_with_manual_validation,yes
pub-101,33,0,0,7,70.0,core_ai_attack,include_with_manual_validation,yes
pub-102,20,0,1,4,40.0,core_ai_attack,include_with_manual_validation,yes
pub-103,6,27,0,4,40.0,background_ai_mention,context_only,yes
pub-104,33,6,64,8,80.0,core_ai_attack,include_with_manual_validation,yes
pub-105,28,0,2,6,60.0,core_ai_attack,include_with_manual_validation,yes
pub-106,55,2,39,8,80.0,core_ai_attack,include_with_manual_validation,yes
pub-107,73,13,0,8,80.0,core_ai_attack,include_with_manual_validation,yes
pub-108,12,0,0,3,30.0,core_ai_attack,exclude,yes
pub-109,2,1,2,1,10.0,core_ai_attack,exclude,yes
pub-110,19,6,0,5,50.0,core_ai_attack,include_with_manual_validation,yes
pub-111,30,1,0,6,60.0,core_ai_attack,include_with_manual_validation,yes
pub-112,30,5,0,7,70.0,core_ai_attack,include_with_manual_validation,yes
pub-113,30,11,0,5,50.0,core_ai_attack,include_with_manual_validation,yes
pub-114,85,11,0,8,80.0,core_ai_attack,include_with_manual_validation,yes
pub-115,4,0,0,2,20.0,core_ai_attack,include_with_manual_validation,yes
pub-116,92,143,0,7,70.0,core_ai_attack,include_with_manual_validation,yes
